using,ram,screen,capacity,fre,core
645.6,4,6.5,5000,2,8
632.4,4,6.5,5000,2,8
663.1,4,6.5,5000,2,8
638.9,4,6.5,5000,2,8
667.0,4,6.5,5000,2,8
664.2,4,6.5,5000,2,8
633.7,4,6.5,5000,2,8
649.1,4,6.5,5000,2,8
646.7,4,6.5,5000,2,8
659.0,4,6.5,5000,2,8
662.4,4,6.5,5000,2,8
627.3,4,6.5,5000,2,8
664.5,4,6.5,5000,2,8
636.2,4,6.5,5000,2,8
650.7,4,6.5,5000,2,8
656.8,4,6.5,5000,2,8
635.8,4,6.5,5000,2,8
628.4,4,6.5,5000,2,8
667.5,4,6.5,5000,2,8
652.1,4,6.5,5000,2,8
651.0,4,6.5,5000,2,8
628.5,4,6.5,5000,2,8
666.2,4,6.5,5000,2,8
660.6,4,6.5,5000,2,8
646.3,4,6.5,5000,2,8
636.7,4,6.5,5000,2,8
640.4,4,6.5,5000,2,8
663.0,4,6.5,5000,2,8
665.3,4,6.5,5000,2,8
629.4,4,6.5,5000,2,8
658.6,4,6.5,5000,2,8
651.5,4,6.5,5000,2,8
640.2,4,6.5,5000,2,8
651.8,4,6.5,5000,2,8
638.7,4,6.5,5000,2,8
660.1,4,6.5,5000,2,8
642.9,4,6.5,5000,2,8
636.8,4,6.5,5000,2,8
664.9,4,6.5,5000,2,8
662.3,4,6.5,5000,2,8
658.5,4,6.5,5000,2,8
634.8,4,6.5,5000,2,8
648.2,4,6.5,5000,2,8
630.5,4,6.5,5000,2,8
651.9,4,6.5,5000,2,8
640.9,4,6.5,5000,2,8
657.2,4,6.5,5000,2,8
650.6,4,6.5,5000,2,8
649.2,4,6.5,5000,2,8
653.5,4,6.5,5000,2,8
641.4,4,6.5,5000,2,8
665.8,4,6.5,5000,2,8
665.9,4,6.5,5000,2,8
653.2,4,6.5,5000,2,8
649.0,4,6.5,5000,2,8
667.7,4,6.5,5000,2,8
655.7,4,6.5,5000,2,8
631.3,4,6.5,5000,2,8
661.4,4,6.5,5000,2,8
654.4,4,6.5,5000,2,8
670.2,4,6.5,5000,2,8
657.7,4,6.5,5000,2,8
664.2,4,6.5,5000,2,8
609.1,8,6.4,4000,2.2,8
638.3,8,6.4,4000,2.2,8
627.9,8,6.4,4000,2.2,8
623.2,8,6.4,4000,2.2,8
617.6,8,6.4,4000,2.2,8
604.5,8,6.4,4000,2.2,8
616.1,8,6.4,4000,2.2,8
621.4,8,6.4,4000,2.2,8
601.6,8,6.4,4000,2.2,8
633.5,8,6.4,4000,2.2,8
606.8,8,6.4,4000,2.2,8
628.3,8,6.4,4000,2.2,8
629.1,8,6.4,4000,2.2,8
602.7,8,6.4,4000,2.2,8
622.1,8,6.4,4000,2.2,8
621.4,8,6.4,4000,2.2,8
611.3,8,6.4,4000,2.2,8
616.8,8,6.4,4000,2.2,8
640.9,8,6.4,4000,2.2,8
621.0,8,6.4,4000,2.2,8
606.1,8,6.4,4000,2.2,8
627.7,8,6.4,4000,2.2,8
623.1,8,6.4,4000,2.2,8
603.3,8,6.4,4000,2.2,8
600.8,8,6.4,4000,2.2,8
637.5,8,6.4,4000,2.2,8
622.0,8,6.4,4000,2.2,8
621.3,8,6.4,4000,2.2,8
601.4,8,6.4,4000,2.2,8
632.4,8,6.4,4000,2.2,8
626.8,8,6.4,4000,2.2,8
612.5,8,6.4,4000,2.2,8
602.9,8,6.4,4000,2.2,8
605.6,8,6.4,4000,2.2,8
628.0,8,6.4,4000,2.2,8
629.3,8,6.4,4000,2.2,8
603.4,8,6.4,4000,2.2,8
619.6,8,6.4,4000,2.2,8
621.9,8,6.4,4000,2.2,8
602.2,8,6.4,4000,2.2,8
629.0,8,6.4,4000,2.2,8
603.8,8,6.4,4000,2.2,8
619.7,8,6.4,4000,2.2,8
625.0,8,6.4,4000,2.2,8
604.9,8,6.4,4000,2.2,8
630.1,8,6.4,4000,2.2,8
624.5,8,6.4,4000,2.2,8
623.9,8,6.4,4000,2.2,8
625.3,8,6.4,4000,2.2,8
617.7,8,6.4,4000,2.2,8
626.1,8,6.4,4000,2.2,8
619.4,8,6.4,4000,2.2,8
635.4,8,6.4,4000,2.2,8
622.0,8,6.4,4000,2.2,8
634.2,8,6.4,4000,2.2,8
622.5,8,6.4,4000,2.2,8
629.6,8,6.4,4000,2.2,8
619.0,8,6.4,4000,2.2,8
618.7,8,6.4,4000,2.2,8
634.9,8,6.4,4000,2.2,8
622.4,8,6.4,4000,2.2,8
624.5,8,6.4,4000,2.2,8
603.8,8,6.4,4000,2.2,8
632.2,8,6.4,4000,2.2,8
616.0,8,6.4,4000,2.2,8
637.4,8,6.4,4000,2.2,8
605.2,8,6.4,4000,2.2,8
633.0,8,6.4,4000,2.2,8
618.8,8,6.4,4000,2.2,8
637.1,8,6.4,4000,2.2,8
606.9,8,6.4,4000,2.2,8
617.5,8,6.4,4000,2.2,8
626.9,8,6.4,4000,2.2,8
625.5,8,6.4,4000,2.2,8
623.2,8,6.4,4000,2.2,8
617.2,8,6.4,4000,2.2,8
619.2,8,6.4,4000,2.2,8
624.9,8,6.4,4000,2.2,8
609.7,8,6.4,4000,2.2,8
610.7,8,6.4,4000,2.2,8
613.6,8,6.4,4000,2.2,8
632.6,8,6.4,4000,2.2,8
614.0,8,6.4,4000,2.2,8
625.2,8,6.4,4000,2.2,8
608.9,8,6.4,4000,2.2,8
610.3,8,6.4,4000,2.2,8
607.8,8,6.4,4000,2.2,8
633.9,8,6.4,4000,2.2,8
619.8,8,6.4,4000,2.2,8
616.1,8,6.4,4000,2.2,8
630.4,8,6.4,4000,2.2,8
632.3,8,6.4,4000,2.2,8
631.7,8,6.4,4000,2.2,8
628.2,8,6.4,4000,2.2,8
606.4,8,6.4,4000,2.2,8
603.7,8,6.4,4000,2.2,8
611.5,8,6.4,4000,2.2,8
617.3,8,6.4,4000,2.2,8
622.2,8,6.4,4000,2.2,8
631.2,8,6.4,4000,2.2,8
614.9,8,6.4,4000,2.2,8
628.5,8,6.4,4000,2.2,8
635.2,8,6.4,4000,2.2,8
631.1,8,6.4,4000,2.2,8
630.7,8,6.4,4000,2.2,8
626.4,8,6.4,4000,2.2,8
616.6,8,6.4,4000,2.2,8
622.7,8,6.4,4000,2.2,8
620.1,8,6.4,4000,2.2,8
613.1,8,6.4,4000,2.2,8
622.8,8,6.4,4000,2.2,8
614.7,8,6.4,4000,2.2,8
623.3,8,6.4,4000,2.2,8
626.5,8,6.4,4000,2.2,8
625.8,8,6.4,4000,2.2,8
606.7,8,6.4,4000,2.2,8
624.0,8,6.4,4000,2.2,8
615.3,8,6.4,4000,2.2,8
624.2,8,6.4,4000,2.2,8
631.5,8,6.4,4000,2.2,8
633.6,8,6.4,4000,2.2,8
611.9,8,6.4,4000,2.2,8
619.4,8,6.4,4000,2.2,8
605.9,8,6.4,4000,2.2,8
632.7,8,6.4,4000,2.2,8
611.3,8,6.4,4000,2.2,8
609.0,8,6.4,4000,2.2,8
616.2,8,6.4,4000,2.2,8
612.4,8,6.4,4000,2.2,8
627.0,8,6.4,4000,2.2,8
614.4,8,6.4,4000,2.2,8
626.8,8,6.4,4000,2.2,8
609.8,8,6.4,4000,2.2,8
610.8,8,6.4,4000,2.2,8
615.4,8,6.4,4000,2.2,8
629.9,8,6.4,4000,2.2,8
611.1,8,6.4,4000,2.2,8
622.4,8,6.4,4000,2.2,8
610.1,8,6.4,4000,2.2,8
614.8,8,6.4,4000,2.2,8
628.3,8,6.4,4000,2.2,8
631.0,8,6.4,4000,2.2,8
614.2,8,6.4,4000,2.2,8
624.6,8,6.4,4000,2.2,8
614.5,8,6.4,4000,2.2,8
617.1,8,6.4,4000,2.2,8
624.5,8,6.4,4000,2.2,8
626.3,8,6.4,4000,2.2,8
614.5,8,6.4,4000,2.2,8
617.7,8,6.4,4000,2.2,8
620.2,8,6.4,4000,2.2,8
624.5,8,6.4,4000,2.2,8
621.8,8,6.4,4000,2.2,8
628.0,8,6.4,4000,2.2,8
632.7,8,6.4,4000,2.2,8
619.9,8,6.4,4000,2.2,8
629.5,8,6.4,4000,2.2,8
654.5,8,6.4,4310,2.2,8
670.1,8,6.4,4310,2.2,8
662.0,8,6.4,4310,2.2,8
685.2,8,6.4,4310,2.2,8
659.7,8,6.4,4310,2.2,8
684.0,8,6.4,4310,2.2,8
651.8,8,6.4,4310,2.2,8
685.4,8,6.4,4310,2.2,8
663.3,8,6.4,4310,2.2,8
663.5,8,6.4,4310,2.2,8
695.0,8,6.4,4310,2.2,8
665.3,8,6.4,4310,2.2,8
652.2,8,6.4,4310,2.2,8
672.8,8,6.4,4310,2.2,8
683.6,8,6.4,4310,2.2,8
670.4,8,6.4,4310,2.2,8
673.9,8,6.4,4310,2.2,8
662.3,8,6.4,4310,2.2,8
673.1,8,6.4,4310,2.2,8
670.6,8,6.4,4310,2.2,8
657.4,8,6.4,4310,2.2,8
697.2,8,6.4,4310,2.2,8
693.1,8,6.4,4310,2.2,8
659.0,8,6.4,4310,2.2,8
651.6,8,6.4,4310,2.2,8
662.9,8,6.4,4310,2.2,8
661.5,8,6.4,4310,2.2,8
658.4,8,6.4,4310,2.2,8
695.8,8,6.4,4310,2.2,8
663.6,8,6.4,4310,2.2,8
672.7,8,6.4,4310,2.2,8
656.4,8,6.4,4310,2.2,8
665.1,8,6.4,4310,2.2,8
671.3,8,6.4,4310,2.2,8
674.5,8,6.4,4310,2.2,8
695.9,8,6.4,4310,2.2,8
666.3,8,6.4,4310,2.2,8
663.8,8,6.4,4310,2.2,8
667.4,8,6.4,4310,2.2,8
652.8,8,6.4,4310,2.2,8
664.7,8,6.4,4310,2.2,8
669.0,8,6.4,4310,2.2,8
682.5,8,6.4,4310,2.2,8
656.0,8,6.4,4310,2.2,8
695.4,8,6.4,4310,2.2,8
680.6,8,6.4,4310,2.2,8
689.3,8,6.4,4310,2.2,8
662.2,8,6.4,4310,2.2,8
678.1,8,6.4,4310,2.2,8
674.6,8,6.4,4310,2.2,8
658.2,8,6.4,4310,2.2,8
661.1,8,6.4,4310,2.2,8
676.5,8,6.4,4310,2.2,8
651.1,8,6.4,4310,2.2,8
670.7,8,6.4,4310,2.2,8
662.8,8,6.4,4310,2.2,8
653.3,8,6.4,4310,2.2,8
662.3,8,6.4,4310,2.2,8
667.5,8,6.4,4310,2.2,8
663.9,8,6.4,4310,2.2,8
653.5,8,6.4,4310,2.2,8
676.8,8,6.4,4310,2.2,8
675.1,8,6.4,4310,2.2,8
661.8,8,6.4,4310,2.2,8
664.9,8,6.4,4310,2.2,8
654.7,8,6.4,4310,2.2,8
661.9,8,6.4,4310,2.2,8
672.2,8,6.4,4310,2.2,8
656.2,8,6.4,4310,2.2,8
658.5,8,6.4,4310,2.2,8
679.4,8,6.4,4310,2.2,8
654.4,8,6.4,4310,2.2,8
655.1,8,6.4,4310,2.2,8
650.9,8,6.4,4310,2.2,8
678.8,8,6.4,4310,2.2,8
668.4,8,6.4,4310,2.2,8
670.2,8,6.4,4310,2.2,8
672.7,8,6.4,4310,2.2,8
651.4,8,6.4,4310,2.2,8
676.4,8,6.4,4310,2.2,8
673.1,8,6.4,4310,2.2,8
658.2,8,6.4,4310,2.2,8
678.3,8,6.4,4310,2.2,8
665.6,8,6.4,4310,2.2,8
668.2,8,6.4,4310,2.2,8
669.7,8,6.4,4310,2.2,8
669.3,8,6.4,4310,2.2,8
676.5,8,6.4,4310,2.2,8
662.3,8,6.4,4310,2.2,8
660.9,8,6.4,4310,2.2,8
665.0,8,6.4,4310,2.2,8
655.7,8,6.4,4310,2.2,8
676.6,8,6.4,4310,2.2,8
656.5,8,6.4,4310,2.2,8
671.1,8,6.4,4310,2.2,8
670.7,8,6.4,4310,2.2,8
654.8,8,6.4,4310,2.2,8
653.8,8,6.4,4310,2.2,8
673.5,8,6.4,4310,2.2,8
677.0,8,6.4,4310,2.2,8
662.6,8,6.4,4310,2.2,8
677.9,8,6.4,4310,2.2,8
673.3,8,6.4,4310,2.2,8
651.7,8,6.4,4310,2.2,8
678.5,8,6.4,4310,2.2,8
659.4,8,6.4,4310,2.2,8
667.1,8,6.4,4310,2.2,8
656.3,8,6.4,4310,2.2,8
657.3,8,6.4,4310,2.2,8
669.5,8,6.4,4310,2.2,8
651.9,8,6.4,4310,2.2,8
656.8,8,6.4,4310,2.2,8
670.4,8,6.4,4310,2.2,8
675.8,8,6.4,4310,2.2,8
668.2,8,6.4,4310,2.2,8
677.2,8,6.4,4310,2.2,8
652.2,8,6.4,4310,2.2,8
657.1,8,6.4,4310,2.2,8
652.5,8,6.4,4310,2.2,8
662.4,8,6.4,4310,2.2,8
656.7,8,6.4,4310,2.2,8
674.7,8,6.4,4310,2.2,8
651.4,8,6.4,4310,2.2,8
674.3,8,6.4,4310,2.2,8
665.3,8,6.4,4310,2.2,8
656.7,8,6.4,4310,2.2,8
661.5,8,6.4,4310,2.2,8
672.6,8,6.4,4310,2.2,8
672.0,8,6.4,4310,2.2,8
670.4,8,6.4,4310,2.2,8
674.3,8,6.4,4310,2.2,8
663.7,8,6.4,4310,2.2,8
420.1,4,6.5,5000,2,8
432.2,4,6.5,5000,2,8
443.5,4,6.5,5000,2,8
418.9,4,6.5,5000,2,8
431.0,4,6.5,5000,2,8
409.3,4,6.5,5000,2,8
404.7,4,6.5,5000,2,8
436.5,4,6.5,5000,2,8
423.6,4,6.5,5000,2,8
452.1,4,6.5,5000,2,8
406.8,4,6.5,5000,2,8
443.8,4,6.5,5000,2,8
426.7,4,6.5,5000,2,8
417.2,4,6.5,5000,2,8
416.4,4,6.5,5000,2,8
423.8,4,6.5,5000,2,8
436.2,4,6.5,5000,2,8
411.9,4,6.5,5000,2,8
428.4,4,6.5,5000,2,8
445.6,4,6.5,5000,2,8
408.7,4,6.5,5000,2,8
455.9,4,6.5,5000,2,8
444.3,4,6.5,5000,2,8
403.6,4,6.5,5000,2,8
429.8,4,6.5,5000,2,8
426.6,4,6.5,5000,2,8
450.7,4,6.5,5000,2,8
416.5,4,6.5,5000,2,8
407.8,4,6.5,5000,2,8
446.1,4,6.5,5000,2,8
423.9,4,6.5,5000,2,8
404.5,4,6.5,5000,2,8
454.2,4,6.5,5000,2,8
410.4,4,6.5,5000,2,8
418.6,4,6.5,5000,2,8
439.5,4,6.5,5000,2,8
432.3,4,6.5,5000,2,8
447.9,4,6.5,5000,2,8
419.7,4,6.5,5000,2,8
444.8,4,6.5,5000,2,8
439.3,4,6.5,5000,2,8
453.7,4,6.5,5000,2,8
416.3,4,6.5,5000,2,8
412.2,4,6.5,5000,2,8
409.5,4,6.5,5000,2,8
414.7,4,6.5,5000,2,8
448.5,4,6.5,5000,2,8
437.9,4,6.5,5000,2,8
434.1,4,6.5,5000,2,8
401.2,4,6.5,5000,2,8
450.3,4,6.5,5000,2,8
402.4,4,6.5,5000,2,8
419.2,4,6.5,5000,2,8
405.9,4,6.5,5000,2,8
407.4,4,6.5,5000,2,8
402.8,4,6.5,5000,2,8
437.2,4,6.5,5000,2,8
428.6,4,6.5,5000,2,8
409.0,4,6.5,5000,2,8
412.9,4,6.5,5000,2,8
445.9,4,6.5,5000,2,8
417.6,4,6.5,5000,2,8
447.4,4,6.5,5000,2,8
448.6,4,6.5,5000,2,8
403.9,4,6.5,5000,2,8
443.0,4,6.5,5000,2,8
428.9,4,6.5,5000,2,8
417.9,4,6.5,5000,2,8
446.9,4,6.5,5000,2,8
406.6,4,6.5,5000,2,8
417.0,4,6.5,5000,2,8
413.3,4,6.5,5000,2,8
437.1,4,6.5,5000,2,8
404.9,4,6.5,5000,2,8
434.4,4,6.5,5000,2,8
432.7,4,6.5,5000,2,8
413.8,4,6.5,5000,2,8
429.2,4,6.5,5000,2,8
437.4,4,6.5,5000,2,8
416.4,4,6.5,5000,2,8
407.6,4,6.5,5000,2,8
444.5,4,6.5,5000,2,8
419.1,4,6.5,5000,2,8
401.8,4,6.5,5000,2,8
409.2,4,6.5,5000,2,8
448.9,4,6.5,5000,2,8
430.1,4,6.5,5000,2,8
431.5,4,6.5,5000,2,8
413.5,4,6.5,5000,2,8
442.6,4,6.5,5000,2,8
428.2,4,6.5,5000,2,8
426.1,4,6.5,5000,2,8
401.6,4,6.5,5000,2,8
442.3,4,6.5,5000,2,8
404.8,4,6.5,5000,2,8
430.5,4,6.5,5000,2,8
438.2,4,6.5,5000,2,8
432.9,4,6.5,5000,2,8
414.1,4,6.5,5000,2,8
430.7,4,6.5,5000,2,8
445.2,4,6.5,5000,2,8
413.1,4,6.5,5000,2,8
435.1,4,6.5,5000,2,8
414.5,4,6.5,5000,2,8
404.2,4,6.5,5000,2,8
434.7,4,6.5,5000,2,8
444.0,4,6.5,5000,2,8
445.5,4,6.5,5000,2,8
410.7,4,6.5,5000,2,8
438.8,4,6.5,5000,2,8
406.5,4,6.5,5000,2,8
434.9,4,6.5,5000,2,8
429.9,4,6.5,5000,2,8
415.3,4,6.5,5000,2,8
428.8,4,6.5,5000,2,8
429.5,4,6.5,5000,2,8
436.1,4,6.5,5000,2,8
430.9,4,6.5,5000,2,8
437.6,4,6.5,5000,2,8
418.5,4,6.5,5000,2,8
411.6,4,6.5,5000,2,8
416.5,4,6.5,5000,2,8
444.1,4,6.5,5000,2,8
420.2,4,6.5,5000,2,8
418.1,4,6.5,5000,2,8
421.1,4,6.5,5000,2,8
422.5,4,6.5,5000,2,8
432.2,4,6.5,5000,2,8
401.5,4,6.5,5000,2,8
416.1,4,6.5,5000,2,8
404.6,4,6.5,5000,2,8
414.9,4,6.5,5000,2,8
417.8,4,6.5,5000,2,8
411.8,4,6.5,5000,2,8
429.8,4,6.5,5000,2,8
434.4,4,6.5,5000,2,8
442.3,4,6.5,5000,2,8
432.1,4,6.5,5000,2,8
415.3,4,6.5,5000,2,8
436.4,4,6.5,5000,2,8
434.9,4,6.5,5000,2,8
411.6,4,6.5,5000,2,8
423.9,4,6.5,5000,2,8
415.2,4,6.5,5000,2,8
402.7,4,6.5,5000,2,8
432.5,4,6.5,5000,2,8
401.8,4,6.5,5000,2,8
780.4,4,6.5,5000,2,8
711.8,4,6.5,5000,2,8
827.2,4,6.5,5000,2,8
743.6,4,6.5,5000,2,8
802.7,4,6.5,5000,2,8
709.5,4,6.5,5000,2,8
827.8,4,6.5,5000,2,8
798.1,4,6.5,5000,2,8
721.9,4,6.5,5000,2,8
837.5,4,6.5,5000,2,8
716.4,4,6.5,5000,2,8
758.9,4,6.5,5000,2,8
811.7,4,6.5,5000,2,8
746.0,4,6.5,5000,2,8
760.3,4,6.5,5000,2,8
706.7,4,6.5,5000,2,8
834.5,4,6.5,5000,2,8
739.2,4,6.5,5000,2,8
765.4,4,6.5,5000,2,8
822.7,4,6.5,5000,2,8
802.9,4,6.5,5000,2,8
808.2,4,6.5,5000,2,8
759.5,4,6.5,5000,2,8
823.8,4,6.5,5000,2,8
725.8,4,6.5,5000,2,8
748.9,4,6.5,5000,2,8
747.5,4,6.5,5000,2,8
835.7,4,6.5,5000,2,8
743.7,4,6.5,5000,2,8
722.3,4,6.5,5000,2,8
805.2,4,6.5,5000,2,8
727.1,4,6.5,5000,2,8
844.6,4,6.5,5000,2,8
746.2,4,6.5,5000,2,8
751.5,4,6.5,5000,2,8
737.0,4,6.5,5000,2,8
749.0,4,6.5,5000,2,8
757.5,4,6.5,5000,2,8
815.1,4,6.5,5000,2,8
823.3,4,6.5,5000,2,8
789.3,4,6.5,5000,2,8
722.9,4,6.5,5000,2,8
744.4,4,6.5,5000,2,8
757.7,4,6.5,5000,2,8
721.1,4,6.5,5000,2,8
816.3,4,6.5,5000,2,8
828.3,4,6.5,5000,2,8
799.4,4,6.5,5000,2,8
820.5,4,6.5,5000,2,8
710.1,4,6.5,5000,2,8
